termo,coeficiente
bastante garganta,0.210203804610054
bastante meu,0.1748458228097258
bastante tempo,0.15750512179805504
bate,-0.24577038593912168
bate fora,-0.24577038593912168
batida,0.18449782545661916
batida pequena,0.18449782545661916
batidas,-0.0841648670054737
batidas aceleradas,-0.022625052108240652
batidas muito,-0.25304435394729263
batidas rapidas,0.17695964281427462
batimentos,-0.4171277901705515
batimentos irregulares,-0.4171277901705515
beber,0.19614244583393184
beber agua,0.19614244583393184
bem,1.4350740163013018
bem exceto,0.15343229989970927
bem neg_sintoma_toracico,0.26369508607844444
bem pela,0.13729357819355484
bem sem,0.18993422151811062
bem sigo,0.1700492774642848
bem so,0.15736902091043853
bem tenho,0.14020829058584017
blusa,0.34254636705558883
blusa apenas,0.21679290790043232
blusa irritou,0.1522404851116077
boca,0.508866200241227
boca esta,-0.29395620090074803
boca ficou,-0.2545468453574761
boca mas,0.18173936491092668
boca ressecou,0.27690968302695546
boca seca,0.39624570672016607
boca sigo,0.13729357819355484
boca so,0.21918673475040085
bolha,0.5520931739970492
bolha do,0.19962015894628887
bolha pequena,0.26088460761204757
bolha que,0.17830126022665355
braco,-0.11650753880625082
braco cocando,0.16155597046518577
braco esquerdo,-0.23209715139812281
braco esta,-0.261361322914571
braco nao,0.27872347326548774
braco perdeu,-0.25288024779412893
braco sem,0.2996706364122443
braco so,0.1691974344332478
braco tambem,-0.14164384656991985
braco tenho,-0.20236556756855306
bracos,-0.3410358647278632
breve,0.3005263600449443
breve na,0.1468045917628975
breve senti,0.17695964281427462
buscando,-0.24116811954976178
buscando ar,-0.24116811954976178
cabeca,0.2319608168531226
cabeludo,0.17056437275077063
cada,-0.3085224609347794
cada dia,0.22945485704403532
cada inspiracao,-0.16638101766950175
cada palavra,-0.19914714739314976
cada vez,-0.23217923176204278
cadeira,-0.4240230175445139
cadeira falta,-0.17627350913569367
cai,-0.3074670950961361
cai desacordado,-0.3074670950961361
caibra,0.1468045917628975
caibra breve,0.1468045917628975
caindo,-0.25304435394729263
caindo sem,-0.25304435394729263
caiu,-0.25771016239507105
calcado,0.17830126022665355
calcado apertado,0.17830126022665355
calcanhar,0.41921071054205955
calcanhar que,0.15081060126361892
calcanhar ressecado,0.1843844283493882
calo,0.3375260958803796
calo do,0.20625591390788967
calo pequeno,0.15736902091043853
caminhada,-0.26683074421917646
caminhada continuo,-0.26683074421917646
camisa,0.18440013775041214
camisa apenas,0.18440013775041214
cansaco,0.1462598662081306
cansaco de,0.21043307852024745
cansaco nao,-0.23561244486118926
cansaco passou,0.19189500290687664
cansado,0.1748458228097258
cansado ja,0.1748458228097258
cansados,0.2753042173592696
cansados da,0.2753042173592696
cansando,-0.22540122778371371
cansando para,-0.22540122778371371
cantar,0.1700492774642848
cantar mas,0.1700492774642848
caspa,0.2319608168531226
caspa coceira,0.2319608168531226
causa,0.16230679590260572
causa do,0.16230679590260572
cede,-0.15770973242971176
cede comecou,-0.15770973242971176
cedo,-0.19328570035904935
chao,-0.546311280788822
cicatrizando,0.17742366734159395
coca,0.505092795774648
coca onde,0.2660355387887216
coca um,0.28747071023370263
cocando,0.16155597046518577
cocando um,0.16155597046518577
coceira,0.930066011985101
coceira discreta,0.4024754699972367
coceira leve,0.3168431463450319
coceira nas,0.12862386000519627
coceira no,0.026844782516099425
coceira pequena,0.18683369614665454
com,-0.8376647371661263
com aperto,-0.1347086173745481
com boca,0.23074252998502515
com dificuldade,-0.3542235859752818
com dor,-0.3284863049250291
com enjoo,-0.3061686398685677
com falta,-0.5703439383383906
com fraqueza,-0.19068352284719678
com garganta,0.3121562416942853
com leve,0.1812875067324418
com meu,0.20625591390788967
com muita,-0.20199648651891705
com nariz,0.23621817995717403
com os,0.2753042173592696
com palidez,-0.23217923176204278
com pausa,0.4694501629061437
com peito,-0.18925124391044051
com pressao,-0.40214897203940775
com respiracao,-0.31457395531587734
com sensacao,-0.36135160687848644
com sono,0.23128865952897415
com suor,-0.41400841033208496
com torax,-0.19366916139789633
com uma,0.5019929001438227
comecei,-1.310149690318156
comecei com,-0.21046522546636048
comecei falar,-0.4764909150338668
comecei me,-0.17627350913569367
comecei perder,-0.19392182114483483
comecei sentir,-0.16171680833411126
comecei subitamente,-0.3542235859752818
comecei tossir,-0.19478796407407056
comecou,-0.2624823697931824
comecou de,-0.1250688016509015
comecou irradiar,-0.15770973242971176
comer,0.18993422151811062
comer acabou,0.18993422151811062
comigo,0.20533405176712796
comigo so,0.20533405176712796
como,-0.21106627632445463
como um,-0.21106627632445463
completamente,0.4401412151090405
completamente ao,0.2709366796256966
completamente com,0.2032379771143428
completo,-0.24239998958077758
completo uma,-0.24239998958077758
computador,0.2003048386078615
confuso,-0.5480013969538907
confuso desde,-0.23673963064661957
confuso meu,-0.25288024779412893
congestao,0.13729357819355484
congestao nasal,0.13729357819355484
conhecida,0.14951557721421377
conhecida ja,0.14951557721421377
consciencia,-0.8594838927193322
consciencia em,-0.22568302762127634
consciencia fui,-0.3250428043201703
consciente,-0.13692980001113778
consciente porem,-0.13692980001113778
consigo,-0.3049566958875061
consigo atravessar,-0.20385715486469388
consigo falar,-0.19501871070499419
consigo fazer,0.23128865952897415
consigo ficar,-0.21703530652544412
consigo manter,0.24926809409299805
consigo mexe,0.18449782545661916
consigo recuperar,-0.2545468453574761
consigo respirar,-0.20191994696778695
continua,-0.1349710379072277
continua aumentando,-0.18457847243685765
continua igual,0.19244731764861842
continua no,-0.16171680833411126
continuo,-0.16361763501128704
continuo com,-0.16499434146882436
continuo consciente,-0.13692980001113778
continuo muito,-0.26683074421917646
continuo respirando,0.47228959987245933
contraiu,0.21221998789933968
contraiu por,0.21221998789933968
conversa,0.17838448662978498
conversa longa,0.17838448662978498
cor,-0.1810079735034242
coracao,-0.79825463372006
coracao acelerou,0.18699013056444697
coracao bate,-0.24577038593912168
coracao da,-0.25304435394729263
coracao dispara,-0.45934328917716005
